app_id,client_id,apply_date,channel,product,requested_amount,decision,reject_reason,approved_amount,is_issued
1,295,2024-01-04,Партнёр (POS),Кредит наличными,790000,Одобрено,,790000,1
2,563,2024-01-22,Отделение,Кредит наличными,610000,Одобрено,,610000,1
3,1784,2024-01-19,Онлайн-заявка,Кредит наличными,590000,Одобрено,,590000,0
4,6920,2024-01-05,Отделение,Кредит наличными,1380000,Одобрено,,1380000,1
5,354,2024-01-09,Партнёр (POS),POS-кредит,360000,Одобрено,,360000,1
6,7890,2024-01-20,Онлайн-заявка,POS-кредит,250000,Одобрено,,160000,0
7,295,2024-01-19,Партнёр (POS),Кредит наличными,960000,Отказ,Низкий скоринговый балл,0,0
8,3194,2024-01-20,Мобильное приложение,POS-кредит,270000,Одобрено,,270000,1
9,2323,2024-01-24,Колл-центр,POS-кредит,350000,Одобрено,,260000,0
10,1064,2024-01-20,Партнёр (POS),Кредитная карта,410000,Отказ,Действующая просрочка,0,0
11,7638,2024-01-07,Партнёр (POS),Кредитная карта,590000,Одобрено,,520000,1
12,2613,2024-01-17,Отделение,Кредит наличными,1440000,Отказ,Недостаточная кредитная история,0,0
13,10866,2024-01-20,Мобильное приложение,Кредит наличными,1050000,Отказ,Высокая долговая нагрузка,0,0
14,9681,2024-01-13,Колл-центр,Кредит наличными,720000,Отказ,Высокая долговая нагрузка,0,0
15,9972,2024-01-26,Отделение,Кредитная карта,230000,Отказ,Действующая просрочка,0,0
16,6598,2024-01-01,Мобильное приложение,Кредит наличными,50000,Одобрено,,50000,0
17,3445,2024-01-15,Отделение,POS-кредит,460000,Одобрено,,460000,1
18,1176,2024-01-13,Мобильное приложение,Кредитная карта,550000,Одобрено,,550000,1
19,2613,2024-01-18,Колл-центр,Кредитная карта,530000,Отказ,Недостаточный подтверждённый доход,0,0
20,5736,2024-01-15,Мобильное приложение,POS-кредит,280000,Отказ,Низкий скоринговый балл,0,0
21,8022,2024-01-28,Мобильное приложение,Кредит наличными,1540000,Отказ,Недостаточная кредитная история,0,0
22,3011,2024-01-28,Мобильное приложение,Кредит наличными,1850000,Одобрено,,1850000,0
