client_id,age_group,region,income_band,client_since
1,35-44,Шымкент,400-700к,2025-01-14
2,25-34,Астана,200-400к,2024-05-23
3,45-54,Алматы,до 200к,2021-03-12
4,35-44,Костанай,до 200к,2020-12-07
5,18-24,Алматы,200-400к,2021-11-06
6,55+,Алматы,200-400к,2022-07-12
7,35-44,Алматы,до 200к,2021-08-10
8,45-54,Павлодар,400-700к,2020-06-28
9,18-24,Актобе,до 200к,2022-09-22
10,25-34,Астана,400-700к,2022-04-03
11,25-34,Костанай,700к+,2021-09-02
12,45-54,Алматы,200-400к,2024-07-10
13,35-44,Павлодар,700к+,2021-08-02
14,45-54,Алматы,до 200к,2024-11-20
15,25-34,Астана,200-400к,2020-01-23
16,25-34,Алматы,700к+,2022-11-04
17,35-44,Костанай,400-700к,2025-03-15
18,18-24,Павлодар,до 200к,2021-07-26
19,45-54,Шымкент,до 200к,2023-08-03
20,35-44,Алматы,до 200к,2024-01-06
21,35-44,Алматы,700к+,2021-11-15
22,25-34,Астана,до 200к,2023-07-01
23,55+,Астана,200-400к,2023-07-28
24,45-54,Алматы,200-400к,2022-07-29
25,35-44,Караганда,200-400к,2022-01-23
26,25-34,Шымкент,200-400к,2022-08-08
27,25-34,Павлодар,200-400к,2020-10-24
28,18-24,Астана,200-400к,2022-09-13
29,25-34,Астана,200-400к,2021-10-12
30,35-44,Шымкент,200-400к,2021-11-09
31,35-44,Алматы,200-400к,2021-05-06
32,55+,Караганда,200-400к,2022-11-03
33,25-34,Актобе,400-700к,2020-01-16
34,25-34,Алматы,200-400к,2020-04-24
35,25-34,Астана,200-400к,2021-02-21
36,25-34,Атырау,до 200к,2023-02-14
37,18-24,Шымкент,до 200к,2021-05-28
38,25-34,Шымкент,400-700к,2022-09-19
39,25-34,Актобе,400-700к,2020-10-22
40,35-44,Шымкент,до 200к,2022-04-21
41,25-34,Алматы,200-400к,2022-06-26
42,45-54,Атырау,200-400к,2021-10-09
43,35-44,Павлодар,400-700к,2020-04-09
44,25-34,Алматы,до 200к,2023-05-28
45,45-54,Алматы,700к+,2021-02-11
46,45-54,Караганда,до 200к,2022-08-27
47,25-34,Шымкент,700к+,2023-11-19
48,25-34,Астана,до 200к,2020-07-20
49,35-44,Шымкент,200-400к,2023-09-19
50,18-24,Караганда,до 200к,2022-01-18
51,25-34,Шымкент,до 200к,2022-10-04
52,18-24,Алматы,700к+,2020-06-02
53,45-54,Алматы,200-400к,2022-09-25
54,35-44,Астана,до 200к,2022-01-28
55,35-44,Павлодар,700к+,2020-12-22
56,45-54,Шымкент,до 200к,2022-12-01
57,25-34,Астана,до 200к,2023-07-25
58,35-44,Павлодар,до 200к,2022-02-21
59,18-24,Астана,200-400к,2023-06-22
60,18-24,Шымкент,700к+,2021-11-14
61,35-44,Алматы,до 200к,2024-07-18
62,25-34,Актобе,400-700к,2021-07-16
63,35-44,Караганда,до 200к,2024-05-15
64,35-44,Атырау,до 200к,2022-02-02
65,35-44,Астана,400-700к,2023-01-21
66,35-44,Астана,400-700к,2020-05-18
67,35-44,Алматы,200-400к,2020-05-28
68,25-34,Костанай,до 200к,2025-06-10
69,18-24,Алматы,до 200к,2020-01-16
70,25-34,Караганда,400-700к,2023-01-15
71,25-34,Караганда,200-400к,2022-07-03
72,25-34,Алматы,200-400к,2023-06-26
73,45-54,Астана,до 200к,2020-01-08
74,25-34,Алматы,400-700к,2021-01-01
75,18-24,Шымкент,до 200к,2021-11-08
76,25-34,Костанай,200-400к,2025-01-20
77,25-34,Астана,400-700к,2021-11-30
78,35-44,Костанай,до 200к,2023-02-16
79,35-44,Алматы,200-400к,2023-02-20
