loan_id,app_id,client_id,product,channel,issue_date,principal,term_months,rate
1,1,295,Кредит наличными,Партнёр (POS),2024-01-04,790000,36,25.6
2,2,563,Кредит наличными,Отделение,2024-01-22,610000,36,28.5
3,4,6920,Кредит наличными,Отделение,2024-01-05,1380000,12,21.2
4,5,354,POS-кредит,Партнёр (POS),2024-01-09,360000,12,21.3
5,8,3194,POS-кредит,Мобильное приложение,2024-01-20,270000,6,25.3
6,11,7638,Кредитная карта,Партнёр (POS),2024-01-07,520000,24,32.4
7,17,3445,POS-кредит,Отделение,2024-01-15,460000,12,19.1
8,18,1176,Кредитная карта,Мобильное приложение,2024-01-13,550000,12,29.0
9,23,404,Кредитная карта,Онлайн-заявка,2024-01-21,410000,24,31.7
10,24,5120,Кредит наличными,Отделение,2024-01-04,1110000,48,36.7
11,27,3286,Кредитная карта,Партнёр (POS),2024-01-07,1030000,24,28.5
12,29,7709,POS-кредит,Онлайн-заявка,2024-01-27,530000,6,21.4
13,30,295,Кредит наличными,Онлайн-заявка,2024-01-14,1720000,24,29.8
14,32,10414,POS-кредит,Партнёр (POS),2024-01-20,60000,18,22.6
15,33,5541,Кредитная карта,Мобильное приложение,2024-01-14,320000,24,34.8
16,34,3585,Кредитная карта,Отделение,2024-01-17,660000,24,31.0
17,38,1996,Кредитная карта,Партнёр (POS),2024-01-28,290000,12,34.8
18,40,9147,POS-кредит,Отделение,2024-01-28,130000,6,22.9
19,45,1634,Кредит наличными,Партнёр (POS),2024-01-15,1200000,36,19.8
20,48,374,POS-кредит,Отделение,2024-01-15,290000,18,23.5
21,49,11808,Кредит наличными,Мобильное приложение,2024-01-06,640000,24,33.1
22,54,3964,Кредитная карта,Партнёр (POS),2024-01-15,840000,24,35.4
23,56,4652,Кредитная карта,Партнёр (POS),2024-01-14,430000,12,31.8
24,60,7535,Кредит наличными,Партнёр (POS),2024-01-10,930000,36,29.6
25,62,4315,POS-кредит,Онлайн-заявка,2024-01-19,180000,18,24.0
26,67,2858,Кредит наличными,Онлайн-заявка,2024-01-18,430000,24,27.6
27,68,4498,POS-кредит,Партнёр (POS),2024-01-03,100000,6,18.8
28,71,11796,Кредитная карта,Отделение,2024-01-28,470000,12,28.2
29,72,5231,POS-кредит,Отделение,2024-01-25,460000,18,24.5
30,73,7826,Кредитная карта,Мобильное приложение,2024-01-25,340000,24,32.1
31,75,9864,Кредит наличными,Партнёр (POS),2024-01-05,630000,48,23.7
32,79,1697,Кредитная карта,Колл-центр,2024-01-07,390000,24,37.3
33,80,2502,Кредитная карта,Отделение,2024-01-26,710000,12,37.1
34,84,5676,POS-кредит,Мобильное приложение,2024-01-20,190000,12,23.0
35,85,578,POS-кредит,Отделение,2024-01-12,290000,12,22.8
36,86,3178,POS-кредит,Отделение,2024-01-04,240000,12,23.9
37,91,7352,Кредит наличными,Партнёр (POS),2024-01-09,300000,24,28.1
38,93,8200,Кредитная карта,Мобильное приложение,2024-01-28,630000,24,28.7
39,94,2505,Кредит наличными,Партнёр (POS),2024-01-23,510000,48,27.1
40,96,11997,POS-кредит,Колл-центр,2024-01-05,270000,18,22.2
41,98,1291,Кредит наличными,Онлайн-заявка,2024-01-28,730000,24,32.5
42,100,10965,POS-кредит,Партнёр (POS),2024-01-02,400000,6,25.4
43,101,3011,Кредит наличными,Партнёр (POS),2024-01-25,1100000,48,20.0
44,102,9774,Кредит наличными,Отделение,2024-01-17,1280000,24,28.8
45,103,7890,POS-кредит,Отделение,2024-01-12,50000,6,21.4
46,106,1777,Кредит наличными,Партнёр (POS),2024-01-24,50000,24,26.5
47,108,8347,POS-кредит,Мобильное приложение,2024-01-09,430000,18,25.2
48,113,2580,POS-кредит,Отделение,2024-01-06,420000,6,20.1
49,116,5513,Кредит наличными,Отделение,2024-01-01,340000,48,27.6
50,117,8818,Кредитная карта,Партнёр (POS),2024-01-15,420000,24,35.1
51,118,6700,Кредит наличными,Онлайн-заявка,2024-01-23,740000,12,21.8
52,119,8916,Кредитная карта,Мобильное приложение,2024-01-19,320000,12,38.2
53,121,8097,Кредит наличными,Отделение,2024-01-22,370000,24,24.3
54,124,1413,POS-кредит,Отделение,2024-01-12,260000,12,26.3
55,129,7678,POS-кредит,Отделение,2024-01-09,290000,6,24.9
56,133,11577,Кредит наличными,Отделение,2024-01-10,1180000,36,30.9
57,142,9907,POS-кредит,Колл-центр,2024-01-04,330000,18,21.7
58,143,3863,Кредитная карта,Отделение,2024-01-18,560000,12,31.1
59,145,1271,Кредит наличными,Отделение,2024-01-23,1260000,12,27.5
60,146,1221,POS-кредит,Мобильное приложение,2024-01-02,200000,6,18.2
61,148,9369,Кредит наличными,Отделение,2024-01-28,1620000,12,30.8
62,150,55,Кредит наличными,Отделение,2024-01-05,760000,12,22.3
63,156,147,Кредитная карта,Отделение,2024-01-01,650000,24,30.6
64,157,2613,Кредит наличными,Отделение,2024-01-22,600000,24,34.3
65,158,7171,Кредит наличными,Отделение,2024-01-01,160000,48,25.5
66,159,5154,Кредитная карта,Отделение,2024-01-12,270000,24,31.7
67,161,7073,POS-кредит,Мобильное приложение,2024-01-12,170000,12,23.5
68,163,3285,POS-кредит,Онлайн-заявка,2024-01-04,280000,12,22.8
69,164,298,POS-кредит,Партнёр (POS),2024-01-12,400000,18,18.2
70,165,6998,Кредит наличными,Партнёр (POS),2024-01-26,940000,36,21.4
71,166,2613,POS-кредит,Партнёр (POS),2024-01-24,180000,6,25.6
72,170,8965,Кредит наличными,Партнёр (POS),2024-01-08,1660000,12,25.2
73,172,6508,POS-кредит,Партнёр (POS),2024-01-04,50000,18,23.3
74,173,9551,Кредит наличными,Партнёр (POS),2024-01-16,1050000,36,26.9
75,176,8214,POS-кредит,Мобильное приложение,2024-01-02,290000,18,25.4
76,179,4890,Кредит наличными,Партнёр (POS),2024-01-24,840000,12,29.6
77,180,6689,POS-кредит,Отделение,2024-01-07,200000,6,21.8
78,182,11446,POS-кредит,Мобильное приложение,2024-01-18,150000,12,19.4
79,183,7660,POS-кредит,Мобильное приложение,2024-01-07,330000,6,21.1
80,184,10851,Кредитная карта,Партнёр (POS),2024-01-27,960000,24,32.1
81,188,2329,POS-кредит,Партнёр (POS),2024-01-26,240000,18,26.1
82,191,9116,POS-кредит,Онлайн-заявка,2024-01-15,330000,6,18.3
83,192,9156,POS-кредит,Партнёр (POS),2024-01-14,260000,6,22.3
84,193,6939,Кредит наличными,Отделение,2024-01-09,570000,24,30.5
85,195,11924,POS-кредит,Партнёр (POS),2024-01-09,220000,6,22.8
86,204,1333,POS-кредит,Партнёр (POS),2024-01-26,360000,12,20.7
87,206,1851,Кредит наличными,Партнёр (POS),2024-01-25,420000,24,31.4
88,207,11414,POS-кредит,Партнёр (POS),2024-01-10,330000,12,20.9
89,208,3438,POS-кредит,Мобильное приложение,2024-01-22,340000,6,22.7
90,209,7441,Кредитная карта,Партнёр (POS),2024-01-15,460000,24,40.0
91,211,11370,POS-кредит,Партнёр (POS),2024-01-24,290000,12,15.0
92,214,8004,Кредитная карта,Отделение,2024-01-11,370000,24,32.5
93,217,2613,Кредит наличными,Партнёр (POS),2024-01-27,1250000,36,27.7
94,219,3779,POS-кредит,Партнёр (POS),2024-01-24,70000,18,19.5
95,222,1303,POS-кредит,Партнёр (POS),2024-01-03,190000,6,22.0
96,223,8491,Кредитная карта,Онлайн-заявка,2024-01-15,550000,12,29.7
