month,channel,marketing_spend
2024-01,Отделение,2980405
2024-01,Онлайн-заявка,1429146
2024-01,Мобильное приложение,1094370
2024-01,Партнёр (POS),2488151
2024-01,Колл-центр,585151
2024-01,Отделение,2461976
2024-01,Онлайн-заявка,1411504
2024-01,Мобильное приложение,921122
2024-01,Партнёр (POS),2131238
2024-01,Колл-центр,680864
2024-03,Отделение,3479807
2024-03,Онлайн-заявка,1503275
2024-03,Мобильное приложение,1060529
2024-03,Партнёр (POS),2790555
2024-03,Колл-центр,704996
2024-03,Отделение,2915968
2024-03,Онлайн-заявка,1493842
2024-03,Мобильное приложение,1198283
2024-03,Партнёр (POS),2520414
2024-03,Колл-центр,668890
2024-04,Отделение,2661302
2024-04,Онлайн-заявка,1848131
2024-04,Мобильное приложение,1121657
2024-04,Партнёр (POS),2361549
2024-04,Колл-центр,708477
2024-05,Отделение,4006717
2024-05,Онлайн-заявка,2048914
2024-05,Мобильное приложение,1110109
2024-05,Партнёр (POS),3052436
2024-05,Колл-центр,632014
2024-06,Отделение,3275806
2024-06,Онлайн-заявка,1812197
2024-06,Мобильное приложение,1192006
2024-06,Партнёр (POS),3092841
2024-06,Колл-центр,675087
2024-07,Отделение,3320961
2024-07,Онлайн-заявка,1858688
2024-07,Мобильное приложение,1440800
2024-07,Партнёр (POS),2648357
2024-07,Колл-центр,809502
2024-08,Отделение,2911216
2024-08,Онлайн-заявка,1517594
2024-08,Мобильное приложение,899131
2024-08,Партнёр (POS),2389015
2024-08,Колл-центр,609590
2024-09,Отделение,3149842
2024-09,Онлайн-заявка,1692639
2024-09,Мобильное приложение,1089934
2024-09,Партнёр (POS),2861891
2024-09,Колл-центр,609547
2024-10,Отделение,3244726
2024-10,Онлайн-заявка,1948712
2024-10,Мобильное приложение,1343689
2024-10,Партнёр (POS),3084567
2024-10,Колл-центр,595060
2024-11,Отделение,4013925
2024-11,Онлайн-заявка,2069578
2024-11,Мобильное приложение,1321600
2024-11,Партнёр (POS),2979724
2024-11,Колл-центр,707138
2024-12,Отделение,4272048
2024-12,Онлайн-заявка,2076172
2024-12,Мобильное приложение,1203168
2024-12,Партнёр (POS),2876983
2024-12,Колл-центр,1051869
2025-01,Отделение,4123845
2025-01,Онлайн-заявка,2577174
2025-01,Мобильное приложение,1501003
2025-01,Партнёр (POS),3261938
2025-01,Колл-центр,1216228
2025-02,Отделение,3283868
2025-02,Онлайн-заявка,2288323
2025-02,Мобильное приложение,1240695
2025-02,Партнёр (POS),2971298
2025-02,Колл-центр,933080
2025-03,Отделение,3300695
2025-03,Онлайн-заявка,2014122
2025-03,Мобильное приложение,1354224
2025-03,Партнёр (POS),3644695
2025-03,Колл-центр,801509
2025-04,Отделение,3647180
2025-04,Онлайн-заявка,2514164
2025-04,Мобильное приложение,1508931
2025-04,Партнёр (POS),2885147
2025-04,Колл-центр,908023
2025-05,Отделение,3216938
2025-05,Онлайн-заявка,2220453
2025-05,Мобильное приложение,1189556
2025-05,Партнёр (POS),3126837
2025-05,Колл-центр,886193
2025-06,Отделение,3974419
2025-06,Онлайн-заявка,2792499
2025-06,Мобильное приложение,1542679
2025-06,Партнёр (POS),3504402
2025-06,Колл-центр,753296
2025-07,Отделение,3743916
2025-07,Онлайн-заявка,2245263
2025-07,Мобильное приложение,1367684
2025-07,Партнёр (POS),2956652
2025-07,Колл-центр,891349
2025-08,Отделение,3400755
2025-08,Онлайн-заявка,2328312
2025-08,Мобильное приложение,1283011
2025-08,Партнёр (POS),2901937
2025-08,Колл-центр,889402
2025-09,Отделение,3924450
2025-09,Онлайн-заявка,2706903
2025-09,Мобильное приложение,1630817
2025-09,Партнёр (POS),3073216
2025-09,Колл-центр,948210
2025-10,Отделение,3682169
2025-10,Онлайн-заявка,3082492
2025-10,Мобильное приложение,1724154
2025-10,Партнёр (POS),4049512
2025-10,Колл-центр,1069908
2025-11,Отделение,4037397
2025-11,Онлайн-заявка,2525103
2025-11,Мобильное приложение,1601005
2025-11,Партнёр (POS),2942277
2025-11,Колл-центр,1051084
